Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
0.00,6.5560,17.8771,-1.3211,49.9972,10.0000
0.17,6.5450,18.6420,-2.0970,48.3306,10.0000
0.33,0.0198,18.8354,-8.8156,46.6639,10.0000
0.50,11.9160,18.1849,0.0000,45.6191,6.2689
0.67,20.6008,18.6012,0.0000,45.9523,-1.9996
0.83,25.3824,17.3805,0.0000,47.2860,-8.0019
1.00,17.6091,17.1994,0.0000,47.3543,-0.4096
1.17,8.9723,17.6505,0.0000,45.9079,8.6783
1.33,0.0291,17.3823,-7.3532,44.2412,10.0000
1.50,17.4710,17.2360,0.0000,44.2804,-0.2350
1.67,27.0906,16.1659,0.9247,45.9470,-10.0000
1.83,3.1570,16.6644,-3.5074,44.2804,10.0000
2.00,0.0509,16.1108,-6.0600,42.6137,10.0000
2.17,30.4723,15.8867,4.1133,44.2804,-10.0000
2.33,0.0000,15.6183,-5.6183,42.6137,10.0000
2.50,0.0206,15.0875,-5.0669,40.9470,10.0000
2.67,12.3466,15.8473,0.0000,40.3636,3.5007
2.83,0.0328,14.7088,-4.6760,38.6969,10.0000
3.00,19.6462,15.3838,0.0000,39.4073,-4.2624
3.17,5.6555,14.5568,-0.0000,37.9238,8.9013
3.33,30.1031,15.0923,4.9077,39.5904,-10.0000
3.50,21.4024,14.9795,0.0000,40.6609,-6.4229
3.67,0.0245,14.7601,-4.7356,38.9943,10.0000
3.83,14.7403,14.0166,0.0000,39.1149,-0.7237
4.00,24.4977,13.3702,1.1275,40.7815,-10.0000
4.17,8.4017,13.5229,0.0000,39.9280,5.1212
4.33,21.9231,12.8367,0.0000,41.4424,-9.0865
4.50,0.0104,12.7943,-2.7839,39.7757,10.0000
4.67,6.2501,12.6399,0.0000,38.7108,6.3898
4.83,6.9967,13.3746,0.0000,37.6478,6.3779
5.00,24.1501,13.1306,1.0194,39.3144,-10.0000
5.17,6.0148,12.1529,0.0000,38.2914,6.1380
5.33,22.9205,12.5631,0.3574,39.9581,-10.0000
5.50,2.6775,12.4237,0.0000,38.3337,9.7462
5.67,5.8734,12.3861,0.0000,37.2483,6.5126
5.83,0.0508,11.5048,-1.4540,35.5816,10.0000
6.00,30.4683,11.0458,8.9542,37.2483,-10.0000
6.17,12.7134,10.8423,0.0000,37.5601,-1.8711
6.33,4.6422,11.0270,0.0000,36.4960,6.3848
6.50,0.0233,11.1817,-1.1584,34.8293,10.0000
6.67,13.9871,10.6640,0.0000,35.3832,-3.3232
6.83,26.7240,11.3409,5.3830,37.0499,-10.0000
7.00,16.3559,10.3771,0.0000,38.0463,-5.9788
7.17,12.6022,10.4053,0.0000,38.4125,-2.1969
7.33,0.0328,10.9990,-0.9662,36.7458,10.0000
7.50,19.6578,10.2255,0.0000,38.3179,-9.4322
7.67,6.1575,10.3156,0.0000,37.6248,4.1581
7.83,0.0074,9.9986,0.0000,35.9596,9.9912
8.00,4.4675,10.6228,0.0000,34.9337,6.1553
8.17,28.3359,9.8736,8.4623,36.6004,-10.0000
8.33,6.4873,9.6191,0.0000,36.0785,3.1318
8.50,18.6407,10.1086,0.0000,37.5005,-8.5321
8.67,22.4074,9.8307,2.5767,39.1671,-10.0000
8.83,28.2881,10.0207,8.2675,40.8338,-10.0000
9.00,12.3936,10.2395,0.0000,41.1928,-2.1542
9.17,13.0201,9.7691,0.0000,41.7347,-3.2510
9.33,15.8831,9.7212,0.0000,42.7616,-6.1619
9.50,0.0079,10.2910,-0.2831,41.0950,10.0000
9.67,4.7306,10.1130,0.0000,40.1979,5.3824
9.83,5.1534,10.2081,0.0000,39.3555,5.0547
10.00,8.1674,9.9663,0.0000,39.0557,1.7989
10.17,22.7443,10.1320,2.6123,40.7223,-10.0000
10.33,0.0000,9.8990,0.0000,39.0725,9.8990
10.50,0.0373,9.8719,0.0000,37.4334,9.8346
10.67,22.3766,10.2493,2.1273,39.1001,-10.0000
10.83,4.8135,10.7154,0.0000,38.1164,5.9019
11.00,0.0442,10.9906,-0.9464,36.4497,10.0000
11.17,26.4673,10.7698,5.6975,38.1164,-10.0000
