Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
0.00,5.3240,17.8771,-2.5531,49.9972,10.0000
0.17,5.3151,18.6420,-3.3269,48.3306,10.0000
0.33,0.0170,18.8354,-8.8185,46.6639,10.0000
0.50,10.1995,18.1849,0.0000,45.3330,7.9855
0.67,19.0266,18.6012,0.0000,45.4039,-0.4254
0.83,24.2753,17.3805,0.0000,46.5530,-6.8949
1.00,16.0339,17.1994,0.0000,46.3588,1.1655
1.17,7.3146,17.6505,-0.3359,44.6921,10.0000
1.33,0.0265,17.3823,-7.3558,43.0254,10.0000
1.50,15.8973,17.2360,0.0000,42.8023,1.3386
1.67,26.3388,16.1659,0.1729,44.4690,-10.0000
1.83,0.0000,16.6644,-6.6644,42.8023,10.0000
2.00,0.0505,16.1108,-6.0603,41.1357,10.0000
2.17,30.2612,15.8867,4.1133,42.8023,-10.0000
2.33,0.0000,15.6183,-5.6183,41.1357,10.0000
2.50,0.0178,15.0875,-5.0698,39.4690,10.0000
2.67,10.6327,15.8473,0.0000,38.5999,5.2146
2.83,0.0302,14.7088,-4.6786,36.9332,10.0000
3.00,18.0718,15.3838,0.0000,37.3812,-2.6880
3.17,4.4252,14.5568,-0.1316,35.7146,10.0000
3.33,29.8898,15.0923,4.7975,37.3812,-10.0000
3.50,20.1125,14.9795,0.0000,38.2367,-5.1330
3.67,0.0217,14.7601,-4.7384,36.5701,10.0000
3.83,13.0593,14.0166,0.0000,36.4105,0.9574
4.00,23.3334,13.3702,0.0000,38.0710,-9.9632
4.17,6.9135,13.5229,0.0000,36.9695,6.6094
4.33,20.7613,12.8367,0.0000,38.2902,-7.9246
4.50,0.0084,12.7943,-2.7860,36.6236,10.0000
4.67,5.0181,12.6399,0.0000,35.3533,7.6218
4.83,5.7648,13.3746,0.0000,34.0850,7.6098
5.00,22.9862,13.1306,0.0000,35.7276,-9.8556
5.17,4.7829,12.1529,0.0000,34.4993,7.3699
5.33,21.7542,12.5631,0.0000,36.0311,-9.1911
5.50,0.0078,12.4237,-2.4160,34.3644,10.0000
5.67,4.6435,12.3861,0.0000,33.0740,7.7426
5.83,0.0505,11.5048,-1.4544,31.4073,10.0000
6.00,30.2543,11.0458,8.9542,33.0740,-10.0000
6.17,10.9975,10.8423,0.0000,33.0999,-0.1552
6.33,3.4122,11.0270,0.0000,31.8307,7.6148
6.50,0.0204,11.1817,-1.1613,30.1641,10.0000
6.67,12.2720,10.6640,0.0000,30.4321,-1.6080
6.83,25.9749,11.3409,4.6339,32.0988,-10.0000
7.00,14.7806,10.3771,0.0000,32.8327,-4.4036
7.17,10.8883,10.4053,0.0000,32.9132,-0.4830
7.33,0.0302,10.9990,-0.9689,31.2465,10.0000
7.50,18.0833,10.2255,0.0000,32.5561,-7.8578
7.67,4.9275,10.3156,0.0000,31.6581,5.3881
7.83,0.0053,9.9986,0.0000,29.9926,9.9933
8.00,3.2365,10.6228,0.0000,28.7615,7.3863
8.17,27.6856,9.8736,7.8120,30.4282,-10.0000
8.33,5.2548,9.6191,0.0000,29.7008,4.3643
8.50,17.0664,10.1086,0.0000,30.8605,-6.9578
8.67,21.2444,9.8307,1.4137,32.5271,-10.0000
8.83,27.5736,10.0207,7.5529,34.1938,-10.0000
9.00,10.6769,10.2395,0.0000,34.2667,-0.4374
9.17,11.3036,9.7691,0.0000,34.5224,-1.5345
9.33,14.3105,9.7212,0.0000,35.2873,-4.5893
9.50,0.0058,10.2910,-0.2852,33.6206,10.0000
9.67,3.4986,10.1130,0.0000,32.5183,6.6144
9.83,3.9211,10.2081,0.0000,31.4704,6.2870
10.00,6.7458,9.9663,0.0000,30.9337,3.2205
10.17,21.5825,10.1320,1.4505,32.6003,-10.0000
10.33,0.0000,9.8990,0.0000,30.9505,9.8990
10.50,0.0354,9.8719,0.0000,29.3111,9.8365
10.67,21.2127,10.2493,0.9634,30.9777,-10.0000
10.83,3.5836,10.7154,0.0000,29.7891,7.1318
11.00,0.0429,10.9906,-0.9476,28.1224,10.0000
11.17,25.7178,10.7698,4.9481,29.7891,-10.0000
11.33,1.9558,11.1853,0.0000,28.2509,9.2295
11.50,14.7084,11.3586,0.0000,28.8092,-3.3498
11.67,11.1232,11.6314,0.0000,28.7245,0.5082
11.83,0.0369,11.6654,-1.6284,27.0578,10.0000
12.00,22.1569,11.8470,0.3099,28.7245,-10.0000
12.17,17.4168,11.6563,0.0000,29.6845,-5.7605
12.33,0.0139,12.1346,-2.1207,28.0179,10.0000
12.50,8.3322,11.8384,0.0000,27.4335,3.5062
12.67,20.1477,11.9946,0.0000,28.7924,-8.1531
12.83,24.8834,12.1887,2.6947,30.4590,-10.0000
13.00,0.0119,12.8999,-2.8880,28.7924,10.0000
13.17,7.1171,12.6955,0.0000,27.8626,5.5784
13.33,11.1417,12.2800,0.0000,27.6729,1.1383
13.50,4.2419,12.3466,0.0000,26.3221,8.1047
13.67,11.3579,13.6378,0.0000,25.9421,2.2799
13.83,28.1717,13.1090,5.0627,27.6088,-10.0000
14.00,4.0767,14.0320,0.0000,25.9496,9.9553
14.17,0.0000,14.4723,-4.4723,24.2829,10.0000
14.33,0.0066,14.2757,-4.2691,22.6163,10.0000
14.50,4.0173,13.8611,0.0000,20.9756,9.8438
14.67,28.3090,14.3961,3.9129,22.6423,-10.0000
14.83,22.6243,13.9776,0.0000,24.0834,-8.6467
15.00,26.5651,14.6932,1.8719,25.7501,-10.0000
15.17,29.1906,14.9873,4.2033,27.4167,-10.0000
15.33,0.0000,15.9740,-5.9740,25.7501,10.0000
15.50,0.0159,15.1979,-5.1820,24.0834,10.0000
15.67,9.5788,15.9162,0.0000,23.0272,6.3373
